 user_loc,fr_loc,scaled_sci
AW,GP,112172
AW,GQ,2891
AW,GR,1953
AW,GT,2618
AW,GU,7233
AW,GW,747
AW,GY,89092
AW,HK,2294
AW,HN,3426
AW,HR,1546
AW,HT,113154
AW,HU,1804
AW,ID,263
AW,IE,2696
AW,IM,2656
AW,IN,389
AW,IS,5297
AW,IT,3683
AW,JE,5061
AW,JM,108127
AW,JO,779
AW,JP,867
AW,KE,1192
AW,KG,134
AW,KH,233
AW,KI,490
AW,KM,611
AW,KR,353
AW,KW,2589
AW,KY,146256
AW,KZ,691
AW,LA,204
AW,LB,7065
AW,LC,70389
AW,LK,503
AW,LR,2019
AW,LS,460
AW,LT,940
AW,LU,7848
AW,LV,1248
AW,LY,364
AW,MA,1268
AW,MD,589
AW,ME,7065
AW,MG,539
AW,MK,1297
AW,ML,682
AW,MM,80
AW,MN,255
AW,MO,2756
AW,MQ,46491
AW,MR,444
AW,MT,10176
AW,MU,3261
AW,MV,2043
AW,MW,601
