user_loc,fr_loc,scaled_sci
Albania,Costa Rica,607
Albania,Cabo Verde,733
Albania,Curaçao,613
Albania,Cyprus,14261
Albania,Czechia,2997
Albania,Germany,36557
Albania,Djibouti,518
Albania,Denmark,3446
Albania,Dominican Republic,1091
Albania,Algeria,822
Albania,Ecuador,440
Albania,Estonia,2051
Albania,Egypt,779
Albania,Spain,3427
Albania,Ethiopia,404
Albania,Finland,5104
Albania,Fiji,663
Albania,"Micronesia, Federated States of",113
Albania,France,9331
Albania,Gabon,573
Albania,United Kingdom,24637
Albania,Grenada,709
Albania,Georgia,2358
Albania,French Guiana,432
Albania,Ghana,1471
Albania,Gambia,2748
Albania,Guinea,722
Albania,Guadeloupe,506
Albania,Equatorial Guinea,1607
Albania,Greece,435108
Albania,Guatemala,309
Albania,Guam,310
Albania,Guinea-Bissau,524
Albania,Guyana,638
Albania,Hong Kong,433
Albania,Honduras,468
Albania,Croatia,22880
Albania,Haiti,472
Albania,Hungary,4449
Albania,Indonesia,282
Albania,Ireland,7175
Albania,Isle of Man,1184
Albania,India,182
Albania,Iceland,14835
Albania,Italy,92964
Albania,Jersey,1196
Albania,Jamaica,998
Albania,Jordan,770
Albania,Japan,239
Albania,Kenya,1184
Albania,Kyrgyzstan,589
Albania,Cambodia,187
Albania,Kiribati,172
Albania,Comoros,231
Albania,"Korea, Republic of",312
Albania,Kuwait,1194
Albania,Cayman Islands,2084
Albania,Kazakhstan,1713
Albania,Lao People's Democratic Republic,243
Albania,Lebanon,1100
Albania,Saint Lucia,1196
Albania,Sri Lanka,407
Albania,Liberia,1236
Albania,Lesotho,282
Albania,Lithuania,1763
Albania,Luxembourg,33111
Albania,Latvia,2110
Albania,Libya,688
Albania,Morocco,1248
Albania,"Moldova, Republic of",7923
Albania,Montenegro,211907
Albania,Madagascar,861
Albania,North Macedonia,301734
Albania,Mali,982
Albania,Myanmar,110
Albania,Mongolia,782
Albania,Macao,499
Albania,Martinique,357
Albania,Mauritania,507
Albania,Malta,94354
Albania,Mauritius,837
Albania,Maldives,898
Albania,Malawi,299
Albania,Mexico,349
Albania,Malaysia,377
Albania,Mozambique,490
Albania,New Caledonia,277
Albania,Niger,511
Albania,Nigeria,967
Albania,Nicaragua,442
Albania,Netherlands,4516
Albania,Norway,8590
Albania,Nepal,206
Albania,New Zealand,946
Albania,Oman,1010
Albania,Panama,524
Albania,Peru,357
Albania,French Polynesia,255
Albania,Papua New Guinea,264
Albania,Philippines,676
Albania,Pakistan,734
Albania,Poland,1602
Albania,Puerto Rico,415
Albania,Portugal,1746
Albania,Paraguay,841
Albania,Qatar,2867
Albania,Réunion,288
Albania,Romania,6503
Albania,Serbia,26551
Albania,Rwanda,592
Albania,Saudi Arabia,944
Albania,Solomon Islands,223
Albania,Seychelles,1023
Albania,Sweden,15332
Albania,Singapore,622
Albania,Slovenia,16437
Albania,Slovakia,4095
Albania,Sierra Leone,1373
Albania,Senegal,775
Albania,Suriname,524
Albania,Sao Tome and Principe,545
Albania,El Salvador,425
Albania,Eswatini,460
Albania,Chad,648
Albania,Togo,1454
Albania,Thailand,224
Albania,Tajikistan,672
Albania,Timor-Leste,385
Albania,Tunisia,1647
Albania,Tonga,379
Albania,Türkiye,3216
Albania,Trinidad and Tobago,726
Albania,"Taiwan, Province of China",146
Albania,"Tanzania, United Republic of",624
Albania,Ukraine,1489
Albania,Uganda,1491
Albania,United States,4589
Albania,Uruguay,593
Albania,Uzbekistan,555
Albania,Saint Vincent and the Grenadines,549
Albania,Viet Nam,158
Albania,Vanuatu,167
Albania,Samoa,216
Albania,Kosovo,1010020
Albania,Mayotte,215
Albania,South Africa,331
Albania,Zambia,724
Albania,Zimbabwe,369
Armenia,United Arab Emirates,3580
Armenia,Antigua and Barbuda,360
Armenia,Albania,896
Armenia,Armenia,15755579
Armenia,Angola,298
Armenia,Argentina,631
Armenia,Austria,6442
Armenia,Australia,1277
Armenia,Aruba,269
Armenia,Azerbaijan,158036
Armenia,Bosnia and Herzegovina,701
Armenia,Barbados,278
Armenia,Bangladesh,188
Armenia,Belgium,9893
Armenia,Burkina Faso,372
Armenia,Bulgaria,4159
Armenia,Bahrain,857
Armenia,Burundi,192
Armenia,Benin,884
Armenia,Brunei Darussalam,192
Armenia,"Bolivia, Plurinational State of",129
Armenia,Brazil,175
Armenia,Bahamas,410
Armenia,Bhutan,602
Armenia,Botswana,176
Armenia,Belarus,18019
Armenia,Belize,417
Armenia,Canada,3660
Armenia,"Congo, The Democratic Republic of the",256
Armenia,Central African Republic,402
Armenia,Congo,719
Armenia,Switzerland,4228
Armenia,Côte d'Ivoire,561
Armenia,Chile,177
Armenia,Cameroon,341
Armenia,Colombia,172
Armenia,Costa Rica,245
Armenia,Cabo Verde,202
Armenia,Curaçao,359
Armenia,Cyprus,12136
Armenia,Czechia,3903
Armenia,Germany,7085
Armenia,Djibouti,194
Armenia,Denmark,1907
Armenia,Dominican Republic,280
Armenia,Algeria,492
Armenia,Ecuador,174
Armenia,Estonia,8063
Armenia,Egypt,491
Armenia,Spain,3258
Armenia,Ethiopia,187
Armenia,Finland,1317
Armenia,Fiji,148
Armenia,"Micronesia, Federated States of",319
Armenia,France,7055
Armenia,Gabon,221
Armenia,United Kingdom,1011
Armenia,Grenada,354
Armenia,Georgia,73449
Armenia,French Guiana,246
Armenia,Ghana,932
Armenia,Gambia,1689
Armenia,Guinea,378
Armenia,Guadeloupe,503
Armenia,Equatorial Guinea,768
Armenia,Greece,9406
Armenia,Guatemala,83
Armenia,Guam,259
Armenia,Guinea-Bissau,203
Armenia,Guyana,177
Armenia,Hong Kong,310
Armenia,Honduras,98
Armenia,Croatia,1282
Armenia,Haiti,303
Armenia,Hungary,844
Armenia,Indonesia,82
Armenia,Ireland,989
Armenia,Isle of Man,231
Armenia,India,288
Armenia,Iceland,1256
Armenia,Italy,1560
Armenia,Jersey,1052
Armenia,Jamaica,240
Armenia,Jordan,2038
Armenia,Japan,267
Armenia,Kenya,282
Armenia,Kyrgyzstan,4071
